Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I'm a 28 year old female and I started using Lexapro (10mg) after visiting my doctor and having my lab results back normal. Immediately it did three things: Made me EXTREMELY tired all the time, constipated and never hungry. I had to stop the medication after 8 days because the fatigue was too much to handle. They say it takes 4 to 6 weeks to feel effects but these came right away. Since being off my hunger and bowel movement went back to normal but I'm still so tired all of the time. I can't seem to ever have energy even after coffee. I'm scared I have triggered something else by taking Lexapro and wonder if I will ever feel energetic again. I've been off it a month now, the only positive thing I experienced was losing weight.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Premenstrual Dysphoric DisorderOff-label,"""This drug has changed my life. I take 5mg only in the luteal phase and it has completely cured my severe PMT symptoms, I was anxious, paranoid, angry and tearful. I was pushing my family and husband away and falling out with friends. At the point of suicidal thought I couldn't take it anymore and contacted my GP. My only regret is not doing it earlier. I began on 10 mg but it was too strong for me, I was dizzy and hyper. After halving the dose it was like a magic switch being turned on and I immediately felt like my own self. I have no side effects coming off the drug at the end of my two weeks and just a headache for an hour when I restart them. No weight gain either, I've actually lost 10lb cos I'm energetic enough for the gym!""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Have taken lexapro on and off for about 20 years.  My advise is give it a go.  First 3 weeks the side effects made life pretty miserable.  Insomnia, nausea, no appetite or sex drive.  After week 4 started feeling really good (normal) and enjoying life again.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I stared taking setraline 25mg a week ago only managed 6 days as side effects were unbearable. I had taken it for mild depression, ended up with severe Anxiety, agitation, and severe insomnia could not cope. Now on day 3 of tapering of going to try some herbal remedies instead, and hope I can sleep again.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I've been on it 3 times. For 8 years, then again for a little less than a year 2 diff times. For depression and anxiety.  First starting it I always got nausea and killer headaches. But then they would get better and eventually go away. The first few months of taking it I would feel better. Happier, more energy etc. But then as months went on I would become more numb to things. No highs or lows. Just zombie mode. Very spacy and forgetful. Running red lights, forgetting to go to class or work. No sex drive. Tired. Failed my classes.  The most recent time I was on it it really helped with my depression but it actually caused me to have OCD. I had OCD as a child but hadn't had it in forever. Thought that was weird it triggered it to come back.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""This stuff is like magic. I have never been as happy or self actualized as I am now. I can do things I could never do before. No side effects that matter.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I have only been on sertraline 50mg for 4 days and I am going through hell, feeling very low I really hope they work I feel terrible. I have read this will pass in time I hope so. I have had depression and aniexty for many years on all sorts of meds but I got worse so my doctor put me on sertraline.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I want to thank all who posted to ‘hang in there’. Those reviews kept me going when I would have given up. My anxiety was so much worse when I started Lexapro on 5mg. I would wake around 3AM with anxiety so bad it was shy of a panic attack. It would be 4 or 5 hours of feeling anxious, restless and downright horrible. I was sick to my stomach and had no appetite. Eventually this eased a little when I got to 10mg but then we added  insomnia. I’m 3 1/2 weeks in now and feel better than I have in months. I can sleep again and if my anxiety was a 10 before, it doesn’t pass a 2-3 now. Lifesaving med just horrible adjustment period for me. Hang in there!!""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""Horrible side effects""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""Hi there, I'm 35 years old male, have strong anxiety and panic attacks 5 years ago.
I'm getting worse 2 months ago, I can't go out from home, or stay alone in the house, so my therapist decided we had to change my medication. Before this I took only miratazapine. This time I combined with SSRI
-1st try: 5 mg/day : extreme anxiety-nausea-diarrhea. On the day 7th I quit.
-2nd try: 10 days later, this time with xanax (2x0.5 mg): First 3 days I took 5 mg/day, no side effects. From the day 4th, I took 7.5 mg/day: no diarrhea, but my anxiety getting worse, extreme, non-stop nausea, I ate maybe 1 or 2 bananas/day. From day 15th, side effects still here + I couldn't sleep, feeling tired and depressed. On the 18th I quit.
Not for me.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""Has completely changed my life for the better. It's like I am the person I truly am and want to be - I am now  without the anxiety, fearfullness, and depression. It has made me be able to live life and enjoy it! I couldn't believe I had fallen into a ""whats the purpose"" mindset, but now I see it wasn't my fault....I truly needed this medication and will probably be on it long term. It has without a doubt changed my life and brought the joy back into everyday living. It has also boosted my energy....I was tired all the time for no reason no matter what. Now I wake up in the mornings excited for work. Truly a God sent medication!!!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Osteoarthritis,"Voltaren (diclofenac)""I have osteoarthritis in my hands, elbows, knees and feet, and some days the pain was so bad I didn't want to move. The first day I took Voltaren I felt full pain relief, It's a wonderful pain medication. I like that its not a narcotic. Thank you Voltaren I have my life back.""",,NSAID,Increased bleeding risk,Kidney Disease,Aspirin,Ibuprofen,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Pain,"Voltaren (diclofenac)""Some things you need to consider. Maybe this was better when a prescription was required as it cost me $11.49 for a 50 g tube. Each application for knees or the lower body is 4.5 inch long ribbon or 4 g. Which means this tube at the recommended applications, 4, per day will last you three days. Some things that you should take into account also is if you have high blood pressure or kidney disease, then you really shouldn’t be taking this stuff. Those are two very prominent medical conditions in older people which also happens to be the same people that have the arthritis problems that need the product. So in my case and in my opinion it turns out that Voltaren is not only ridiculously expensive, but useless.""",,NSAID,Increased bleeding risk,Pregnancy,Aspirin,Ibuprofen,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I've been taking Lexapro (escitaploprgram) since February. First, I'd like to mention that you can NOT take this drug for a week or less and expect to magically feel better; I felt really sick the first two weeks on this drug. But you HAVE to give the drug time. For me, I didn't really start noticing the drugs positive effects for about two months. I took Zoloft before this and felt like it made me too tired and absent-minded. Luckily, Lexapro doesn't seem to have this effect (although I do drink caffeinated drinks). I like Lexapro not only because my anxiety and depression is completely gone, but I feel like I can finally handle everything in my life now (I'm a working full-time college student). I highly recommend this drug.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Osteoarthritis,"Voltaren (diclofenac)""Recently diagnosed with osteoarthitis in both hands.  The pain was so bad that I would wake up in the middle of the night in pain and I was not able to use my right hand at all.  Doctor put me on voltaren one week ago.  So far I have been pain free. Still have swelling in joints but the morning stiffness and pain is gone.  Gave it an 8 rating since I have only been on the drug for 1 week. Have experienced some acid reflux and sleepiness during the day. I don't know if it is because of the medicine or other problem.""",,NSAID,Increased bleeding risk,Pregnancy,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""I struggled for twelve months with severe anxiety and it got so bad that I ended up with moderate depression too. 
I didn't like the thought of going on medication and tried everything to heal myself ‘naturally’. I meditated daily, ate a healthy diet, read endless self help books, took magnesium and fish oil supplements, practiced mindfulness…. You name it I did it! 

The final straw was a weekend away to our favourite place. Normally being there took all my anxiety away but not this time. I had a panic attack and spent all week crying. The next day I made an appointment  with my doctor who prescribed me 50mg Zoloft. 

Day 12,13 and 14 were the hardest with increased anxiety and diarrhoea. I visited here daily to read the encouraging reviews. Day 15 everything changed, a calm came over me. From then on it continued to get better. By week 5 I felt completely well. Don’t suffer unnecessarily! There is help""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I have been on Zoloft for a year. Started at 25 then 50 then 100mg daily. As I felt better I decreased the dose to 50mgs and eventually the anxiety and negative thoughts came back. So now back to 100mgs and waiting for this to work. This is so hard because I maintain a full time job and have lots of responsibilities. Hope this works soon, please!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""Being honest my mental health has been in decline a long time, basically throughout pandemic and a lifetime of being able to try and live with crippling anxiety. I got back to UK from being in foreign Country. My anxiety it was work related and led to a major increase in anxiety, self harm, loss of job and sent home. On return I was prescribed Vencarm XL 225mg which was not in any was effective for me. My anxiety went through roof. I started Escitalopram last week at 5mg. I was drinking alcohol, bad idea, and begging for Xanax to curb anxiety, to no avail. I had no alcohol today, second day. Doctor had prescribed 28 Escitalopram 10mg which I had to face the outside world to go and fetch. I will not over dramatise my anxiety at thought of leaving my room as you will know. However, I faced it and was shaking, but on interaction with someone else the crazy feelings went a little and went more as I got to fresh air. In short, Escitalopram appears to working for me; however, it is still early days.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""Sertraline helped me get through a very tough emotional and legal situation that involved my entire social, family and work lives. A couple of years later I am still taking it because it seems to help keep things much more even for me and I don't seem to have any side effects. I am actually considering talking to my doctor about increasing the dose from 150mg to 200mg to help me keep my cool in my extremely stressful job. I also suffer from insomnia and fibromyalgia which my personal research seems to indicate are all interwoven. I use many natural therapies but the only combination that ensures a restful sleep for me is taking between 1/2 and 1 mg of lorazepam and 10mg of zolpidem along with 3 homeopathic Hyland's Calms(not Forte) tablets.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"Zoloft (sertraline)""I have been on it for over a year.  Only problem is a problem with retarded ejaculation.  If I plan on sex Sunday I skip a dose Saturday and take the Sunday dose after sex.  It works for me.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I hear amazing reviews on this SSRI, but I cannot relate. I am 23 and I love to work out. Zoloft left me zombified with erectile dysfunction. After coming off of Celexa and trying this SSRI I'm pretty sure SSRI's aren't for me. I could not move from my couch and the X-box. I sat there for days no longer WANTING to take care of myself (clean, eat) and I was getting fat. I would speed home every day after work just so I could get to my couch. I slept constantly and binged when I forced myself off the couch. I was lifeless. It brought reality to my world which was amazing! But I didn't have any energy to enjoy it.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""Recently acquired anxiety like the flip of a light switch, most likely due to menopause. Refused any HRT. I was reluctant to take Zoloft, didn't get Rx filled for over a month until.... my anxiety skyrocketed my BP and put me in hospital. Ok, game changer, doc started me on 25mg since I am very sensitive to side effects. Seem to be doing ""ok"" with it, but I had this full blown anxiety attack last night, ugh. Disheartened. BUT I heard there was a ""time frame"" to get past the side effects and wait it out. So that is what I am doing. Will report back in a few weeks and re-rate this drug.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""DO NOT TAKE THIS DRUG AT NIGHT!!!! The heart palpitations start a couple hours after taking it followed by insomnia. And I was only on 5mg. This drug may be good for depression but NOT for anxiety disorder.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""Sertraline works for me after several tried with different type of depressive medications. Somehow I just knew that whatever problem I have- I can dealt with it as long as I hold steady job. 

Life is hard and full of tragedy. I have no doubt about that , but as long as I keep on working- things will go in the right direction.  

Suicidal thoughts? I do have sometime but I knows being alive is the best state one can experienced.  There are terminally cancer patients die trying so they can just have a few years to live, when I compared my problems to them I am still in the best shape.

 When I think about that - that gives me the strength, the courage and the compassion to live through this life. Good luck to you all!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Has done wonders for my state of mind. I think it's awesome.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Migraine,"Cambia (diclofenac)""Cambia has taken my migraine away in as short as 15 min, the longest it took was 30 min. It doesn't make me tired or groggy or foggy headed like a lot of migraine meds so I can continue with my day.""",,NSAID,Increased bleeding risk,Hypertension,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""This has been one of the toughest medications I have ever been on. I've been on countless numbers of antipsychotics, antidepressants, mood stabilisers... Around 25 medications in total. I was wrongly diagnosed as borderline personality and suffered greatly as a result. Sertraline made everything so much worse for about three weeks: but then, it was like a switch had been pressed in my head. My racing, obsessive thoughts stopped, my constant headaches, insomnia, sweating, worrying, heart pains, vanished. I can think, I can feel and I can, for the first time in a long time, be 100% completely myself without the pain. You don't get points in this world for suffering and this has improved my life by about 100000000%. Stick with it.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I was prescribed Sertraline a few days ago after having a severe panic attack (yet again). After explaining my family history to the doctor he concluded that my anxiety was probably caused by an underlying depression/ slight bipolar disorder that was never diagnosed or treated. As much as I tried to wish I was ""normal"" and denied having the same issues as many of my family members I just have to accept that I have inherited that gene. I am still nervous about being on medicines but I am hoping it helps to get my emotions under control.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""After catching Covid last year, it left me with long Covid and depression. It took 8 weeks to start having an effect on my mental health, slowly as the months went past, escitalopram helped with fast heart rate, temperature regulation, sickness, then pain in my joints and gradually improving tiredness and fatigue, I have noticed improvements over 9 months.
I have put on a bit of extra weight.
I was hesitant to go on any anti depression medication. But am glad I did. I would certainly recommend this. But it’s not a quick fix""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"Zoloft (sertraline)""Review number 2: has been about 7 weeks now on Zoloft, 5 days on 100mg dosage. Still having diarrhoea and small symptoms of panic but not full blown attacks. It's all around my covid vaccination I got my 2nd jab 5 days ago. Seeing a psych next week can not wait, I think it's all in my head all the bad media around the vax, can't wait to get over this stage of my life. Feeling a little depressed about these side effects but side effects nothing like when I first started Zoloft, it's manageable but I do have my bad days. Take it easy and take care of yourself you need it ❤️""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""I’ve had depression since the 11th grade and anxiety even longer. My low mood symptoms included crying a lot, secluding myself, paranoid about people watching me, self punishments, no clear thoughts, didn’t care about my future and couldn’t picture one, controlling about food and lost my love for reading and art. I felt fake around others and had to exhaust myself to seem “ok”. I’m taking 20mg and it has been nothing but a literal life saver for me. It takes the edge off of life and allows me to think rationally and focus. Give it Time, the symptoms decreased after a month or so for me. Things aren’t perfect, just incredibly more manageable, but best of all is genuinely laughing, smiling and saying “today was a good day” and meaning it.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Osteoarthritis,"Zorvolex (diclofenac)""I've finally found a medicine that helps. I can move about so much easier.""",,NSAID,Increased bleeding risk,Kidney Disease,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"Zoloft (sertraline)""The first time I tried Zoloft I hated it, made me feel very nauseous. My doctor wanted me to start on 50mg for 5 days and then go to 100mg, I never made it to day 3 on 50mg. SO I decided to try half of a half approximately 25mg and that worked fine! After 5 days I went to 50, then 5 more days 100, no problems! What I noticed that at the end of the first week was I was more at ease. It not only helped my social anxiety but also reduced my general anxiety too stretching out my Xanax for when I really needed it the most. Worth noting I also take Wellbutrin with the Zoloft and while it's not perfect, I am very happy and pleased with this combination.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Lexapro worked well for me initially and helped me through a dark time. Started on 5mg and increased does over time to 10mg, then 20mg.  However on the highest dose I felt very fuzzy-headed, and unmotivated.  Couldn't concentrate and my mind wandered off constantly.  Made it difficult at work where I have a high-pressure job.  I was weaned off the medicine and now feel much better. Thankfully it worked really well at the start, when I needed it.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Osteoarthritis,"Zorvolex (diclofenac)""Dr. gave me samples....was on 18 mg for 6 days and 35 mg for 3 and now cannot stop ringing in ears which was NOT on drug insert........praying this stops...""",,NSAID,Increased bleeding risk,Diabetes,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I was taking beta blockers and they were awful. Non stop body aches. Gone on to these a week ago body aches gone. Only side effects had day one bad indigestion. I have had 2 days of feeling light headed which wore off after 2 hours or so. In between that it’s fair to say I feel loads better.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""Hello beautiful people. I have been prescribed Escitalopram 10mg by my GP. I started of with 10mg. I suffer from PTSD, extreme anxiety, brain fog, lack of concentration, memory loss, low self esteem and on... First 0-18 hours after taking it I felt very awake, my pupils changed like I had sniffed a line of cocaine. It gave me huge energy boost. Then it turned to abdominal discomfort but nothing bad. Whole body felt weird and very uncomfortable with dizziness and shaking. Hours 18-24 I started to feel better . I took lemsip max to help with the discomfort a little bit and it got better. Still couldn't sleep and was very awake but yawned at the same time. Only slept 4 hours in the first day yet energized and very irritated. The symptoms eased after the first day but continued to be mild until day 5. It is totally worth it in the long run. Anxiety is a lot worse than a few days of lexapro side effects. If you suffer don't think twice. Take it and you will get better 2-4 weeks.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Premenstrual Dysphoric DisorderOff-label,"""I have been taking 20 mg escitalopram for a week for my PMDS. 
My PMDS has been characterized by extreme tearfulness, extreme negative mood, feelings of hopelessness and regret, and a resulting inability to cope with the daily tasks of personal and professional life. For me, the symptoms start a few days after ovulation and reach an unbearable level around the week before my period. 
I sought advice from a gynecologist who prescribed escitalopram 20 mg. I have been taking the medication for a week now and have experienced direct symptom relief from my pmds.  I don't feel weepy but emotionally stable, calm and resilient and have feelings of hope, satisfaction and peace of mind which would have been absolutely unthinkable without medical treatment at this time in the cycle. Unfortunately, I suffer from very extreme side effects, including severe drowsiness, vision problems, dizziness and jitteriness. I think the dose might be too high for me!""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Bipolar DisorderOff-label,"""I was diagnosed Bipolar with severe depression, ptsd, and anxiety in May of 2015. I have been suffering since childhood. I used to have racing thought, nightmares, suicidal thoughts, extreme highs and lows within minutes, etc. I can now be around family and friends without screaming, deal with traffic and go to the grocery store without having a mental breakdown. The first couple weeks were rough but wore off after 3 weeks or so. I have been on it since May, 2015 at 200mg a day. Lately I have had horrible migranes and nausea and don't have any motivation to find a new job.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""Started Lexapro 10 mg 11 days ago. At first the side effects were very obvious. 1st day dry mouth, dizzy, tired.2nd day, fuzzy feeling, dizzy, tired.Each day got better & Better. By day 5 I wasn't napping anymore. Before Lexapro, I was having serious sleep problems, probably half my depression problem. Well I am sleeping like the dead! Waking up feeling completely refreshed & awake! My anxiety is gone. No more crazy thoughts and negative self talk! Feeling happy for the first time in a year. Try not to read all the negative reviews. Remember a lot of people have other things going on mentally, physically, etc. Some people also combine other medicines with Lexapro. I'm only on Lexapro. So far the only thing is that I can't orgasm. Hoping that goes away.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I was scared after reading the reviews, but I have been on this medication for two weeks  and I've had no bad side effects. I'm just taking 5 mg, and I can go to 10mg, but I like 5mg so far, so I'm not changing it yet . Before this medication I could barely drive or work, so I'm relieved that it is working for now. """,,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I have been on Zoloft for about a year now. I started taking it after suffering from depression and anxiety for 8 years. Finally when I hit rock bottom I decided to get some help. I started off at 50mg and I started to see my life change. I still had some issues. It was like being on an emotional roller coaster. At my one month check up they increased my dose to 100mg. Since then things have gotten better. I am more social and outgoing. I no longer push my friends away and I actually want to get out. I have had some issues with side effects though. Since I started taking it I have had some issues with remembering small things. Especially if I am stressed out. For the most part it has been amazing to feel happy.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"Zoloft (sertraline)""June 2015 I was in an accident as a passenger and I developed a fear of driving, and my PTSD was triggered. I've been diagnosed prior to the accident with GAD, Bipolar, Panic Disorder, Depression and PTSD. After a month of panic attacks my psych prescribed me Zoloft 50mg, I had terrible side effects. Mine were heightened because I was on an SSRI months before. I felt uneasy when I'd take the medication so I was put on Lamictal 50mg (will go to 100mg). Panic attacks were gone by the third week, and side effects were gone by the fourth week. All I can say is if you doubt the medication is working, ride it out. I second guessed this medicine because of how bad my side effects were, I'm in the fifth week of taking it and I feel amazing.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"Zoloft (sertraline)""Let me start off by saying loud and clear: it can make things worse before they get better for some people. I knew that going into it, and although this was my first experience with Zoloft, I had previously experienced this with a different SSRI. I started at 25 mg for 1 week and then increased to 50 mg. By the 2-week mark, I woke up and realized that I felt okay for the first time in a while... I didn't have the racing heart, racing thoughts, anxiety, dry heaving, and general feeling of impending doom. Each day after that got better, and I'm only 3 weeks in. This medication can take up to 6 weeks to work. Please be patient and stick with it, and know you're not alone. Anxiety can be so isolating and terrifying, but there's a light at the end of the tunnel. Zoloft pulled me from the panic I was feeling daily related to health and general anxiety. The first 2 weeks, my anxiety got worse, and I had zero appetite and lost a lot of weight, but things are regulating now.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"Zoloft (sertraline)""Not helping for my Obsessive Compulsive Disorder. On max dose now, and still nothing. I get this feeling of the skin on my head contracting...I don't know if that's normal.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""I've been on 10 mg for 2 months now & wow, what an improvement.  Don't even think about anxiety anymore.  Zoloft never worked for me like this.  I recommend this medication to everyone suffering with anxiety issues.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I started taking Sertraline 3 days ago, the first day was the worst, I started on 25mg, it has inhibited my sleep, I feel that I have intense insomnia, but I do sleep, I have dreams but I feel as if I toss and turn all night. The pharmacist recommended 250mg magnesium to take in the evening so I switched my pill from evening to morning on day 2, I don't feel like it made any difference, I still felt the same in the evening of restlessness. I experienced severe chills for the first 2 days but that has since subsided. I have a tight jaw but that is always subsiding. I felt awful the first few days, I puked on night 1 but that has since gotten better. All of the symptoms feel bad but with each day it's gotten better. I feel calmer on day 3 and I don't feel like a zombie, no clouded brain, just a bit of headache and tired, lots of yawning but able to function through the day. At week 2 I will double meds to 50mg for my anxiety. Will update in a few weeks.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I was prescribed setraline for post natal depression and anxiety. At the start i felt irritable, more anxious, nausea, had severe diahrrea and my insomnia got worse.
Two months on i am getting less than four hours sleep a night. Not a good combination with a lively toddler. I still get diahrrea but not as severe and my anxiety levels have decreased dramatically. However i still struggle with everyday tasks/chores/eating etc. I have also noticed my depression increases drastically for three weeks every month, when my period is due. I am seeing my doctor shortly and hope to switch to something that might allow me to sleep. I can cope with everything but sleep deprivation. Three years of less than four hours sleep a night is not good.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I normally would never comment on forums but for this, I feel I have to. I started taking Sertraline 25mg and gradually up to 100mg 4 months ago and I was wary of trying it after trying others and having awful side effects. All I know for sure know that if I was not on it I would not be here now. After being diagnosed with 2 rare conditions that there are no cures for and spending 8 months in the hospital I hit my lowest point. I was angry... crying constantly and had no motivation at all. I met up with friends at Christmas for lunch and broke down. I came home and cried for 2 days luckily I have great family and friends who came to my doctor with me as they were so worried. I was recommended to try this one. At the start, I had pounding headaches but I stuck it out and they cleared after 10 days. I have become more relaxed than I have been in a long time. Going out for a drive or a walk every day as much as I can manage and finally ready to try to live my best life possible.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
